Tiempo (min);Entrada;Salida
10,28;313,48296028752;313,6857284
10,3;313,48296028752;309,5485373
10,32;308,51372424331;310,1076771
10,34;308,51372424331;308,3538391
10,36;308,51372424331;308,1094553
10,38;308,51372424331;312,3554246
10,4;308,51372424331;305,9032691
10,42;313,63978680349;320,0140043
10,44;313,63978680349;317,0252354
10,46;313,63978680349;314,486274
10,48;313,63978680349;312,1298018
10,5;313,63978680349;316,9181091
10,52;332,36288156935;333,8666442
10,54;332,36288156935;332,2284879
10,56;332,36288156935;337,5190292
10,58;332,36288156935;336,1853678
10,6;332,36288156935;331,3413786
10,62;321,14920579854;325,9516464
10,64;321,14920579854;320,3687253
10,66;321,14920579854;316,3237955
10,68;321,14920579854;320,3559894
10,7;321,14920579854;322,7027812
10,72;376,25416778929;376,5752028
10,74;376,25416778929;374,1289716
10,76;376,25416778929;371,5822272
10,78;376,25416778929;378,4603618
10,8;376,25416778929;375,8282673
10,82;331,86866521966;331,4477008
10,84;331,86866521966;327,3041033
10,86;331,86866521966;335,6080122
10,88;331,86866521966;331,7063495
10,9;331,86866521966;336,5117592
10,92;309,78346881117;307,2825756
10,94;309,78346881117;313,1865439
10,96;309,78346881117;307,521598
10,98;309,78346881117;304,0887329
11;309,78346881117;309,575458
11,02;374,58928718119;374,3926166
11,04;374,58928718119;376,6667569
11,06;374,58928718119;375,6770344
11,08;374,58928718119;378,8064349
11,1;374,58928718119;375,3540634
11,12;381,32735405205;381,4316847
11,14;381,32735405205;375,9894454
11,16;381,32735405205;379,9407985
11,18;381,32735405205;381,8848374
11,2;381,32735405205;382,5600523
11,22;381,32735405205;376,9237283
11,24;332,64829758135;336,4827949
11,26;332,64829758135;335,7931909
11,28;332,64829758135;329,4925928
11,3;332,64829758135;326,8304563
11,32;332,64829758135;334,4284872
11,34;303,15073010965;303,4458133
11,36;303,15073010965;303,3259623
11,38;303,15073010965;299,229791
11,4;303,15073010965;310,4483099
11,42;303,15073010965;301,197886
11,44;316,37582263209;317,079026
11,46;316,37582263209;313,9769807
11,48;316,37582263209;309,4654911
11,5;316,37582263209;314,7163698
11,52;329,93478615013;331,7680091
11,54;329,93478615013;327,5254573
11,56;329,93478615013;328,4739068
11,58;329,93478615013;329,4880961
11,6;329,93478615013;333,1024567
11,62;346,69064666078;348,128056
11,64;346,69064666078;349,318619
11,66;346,69064666078;349,193147
11,68;346,69064666078;345,3657446
11,7;346,69064666078;351,9886048
11,72;346,69064666078;349,2985528
11,74;316,74905730028;312,0675983
11,76;316,74905730028;319,8460247
11,78;316,74905730028;313,1622688
11,8;316,74905730028;320,7897372
11,82;347,40587804439;348,4364832
11,84;347,40587804439;348,5528618
11,86;347,40587804439;349,6953597
11,88;347,40587804439;351,1592857
11,9;347,40587804439;346,6134971
11,92;347,40587804439;345,3026115
11,94;357,15942023903;361,9039932
11,96;357,15942023903;359,9456652
11,98;357,15942023903;351,8057298
12;357,15942023903;357,66785
